
group,index,glyph,code_point,unicode_name
3,7,✽,U+273D,HEAVY TEARDROP-SPOKED ASTERISK
3,8,✾,U+273E,SIX PETALLED BLACK AND WHITE FLORETTE
3,9,✿,U+273F,BLACK FLORETTE
3,10,❀,U+2740,WHITE FLORETTE
3,11,❁,U+2741,EIGHT PETALLED OUTLINED BLACK FLORETTE
3,12,❂,U+2742,CIRCLED OPEN CENTRE EIGHT POINTED STAR
3,13,❃,U+2743,HEAVY TEARDROP-SPOKED PINWHEEL ASTERISK
3,14,❄,U+2744,SNOWFLAKE
3,15,❅,U+2745,TIGHT TRIFOLIATE SNOWFLAKE
3,16,❆,U+2746,HEAVY CHEVRON SNOWFLAKE
3,17,❇,U+2747,SPARKLE
3,18,❈,U+2748,HEAVY SPARKLE
3,19,❉,U+2749,BALLOON-SPOKED ASTERISK
3,20,❊,U+274A,EIGHT TEARDROP-SPOKED PROPELLER ASTERISK
3,21,❋,U+274B,HEAVY EIGHT TEARDROP-SPOKED PROPELLER ASTERISK
3,22,★,U+2605,BLACK STAR
3,23,☆,U+2606,WHITE STAR
3,24,✩,U+2729,STRESS OUTLINED WHITE STAR
3,25,✪,U+272A,CIRCLED WHITE STAR
3,26,✫,U+272B,OPEN CENTRE BLACK STAR
3,27,✬,U+272C,BLACK CENTRE WHITE STAR
3,28,✭,U+272D,OUTLINED BLACK STAR
3,29,✮,U+272E,HEAVY OUTLINED BLACK STAR
3,30,✯,U+272F,PINWHEEL STAR
3,31,✰,U+2730,SHADOWED WHITE STAR
3,32,✱,U+2731,HEAVY ASTERISK
3,33,✲,U+2732,OPEN CENTRE ASTERISK
3,34,✳,U+2733,EIGHT SPOKED ASTERISK
3,35,✴,U+2734,EIGHT POINTED BLACK STAR
3,36,✵,U+2735,EIGHT POINTED PINWHEEL STAR
3,37,☀,U+2600,BLACK SUN WITH RAYS
3,38,☁,U+2601,CLOUD
3,39,☂,U+2602,UMBRELLA
3,40,☃,U+2603,SNOWMAN
3,41,☄,U+2604,COMET
3,42,☼,U+263C,WHITE SUN WITH RAYS
3,43,☽,U+263D,FIRST QUARTER MOON
3,44,☾,U+263E,LAST QUARTER MOON
3,45,♠,U+2660,BLACK SPADE SUIT
3,46,♡,U+2661,WHITE HEART SUIT
3,47,♣,U+2663,BLACK CLUB SUIT
3,48,♤,U+2664,WHITE SPADE SUIT
3,49,♦,U+2666,BLACK DIAMOND SUIT
3,50,❤,U+2764,HEAVY BLACK HEART
3,51,⚡,U+26A1,HIGH VOLTAGE SIGN
3,52,⚔,U+2694,CROSSED SWORDS
3,53,☯,U+262F,YIN YANG
3,54,⚛,U+269B,ATOM SYMBOL
3,55,⚗,U+2697,ALEMBIC
3,56,⚙,U+2699,GEAR
3,57,⚒,U+2692,HAMMER AND PICK
3,58,⚚,U+269A,STAFF OF HERMES
3,59,⚕,U+2695,STAFF OF AESCULAPIUS
3,60,⚖,U+2696,SCALES
3,61,⚘,U+2698,FLOWER
3,62,⊏,U+228F,SQUARE IMAGE OF
3,63,⊐,U+2290,SQUARE ORIGINAL OF
3,64,⚓,U+2693,ANCHOR
3,65,⚑,U+2691,BLACK FLAG
3,66,〇,U+3007,IDEOGRAPHIC NUMBER ZERO
3,67,⟁,U+27C1,WHITE TRIANGLE CONTAINING SMALL WHITE TRIANGLE
3,68,⧖,U+29D6,WHITE HOURGLASS
3,69,⧗,U+29D7,BLACK HOURGLASS
3,70,⧘,U+29D8,LEFT WIGGLY FENCE
3,71,⧙,U+29D9,RIGHT WIGGLY FENCE
3,72,⧚,U+29DA,LEFT DOUBLE WIGGLY FENCE
3,73,⧛,U+29DB,RIGHT DOUBLE WIGGLY FENCE
3,74,⟐,U+27D0,WHITE DIAMOND WITH CENTRED DOT
3,75,⟑,U+27D1,AND WITH DOT
3,76,⟒,U+27D2,ELEMENT OF OPENING UPWARDS
3,77,⟓,U+27D3,LOWER RIGHT CORNER WITH DOT
3,78,⟔,U+27D4,UPPER LEFT CORNER WITH DOT
3,79,⟕,U+27D5,LEFT OUTER JOIN
3,80,⟖,U+27D6,RIGHT OUTER JOIN
3,81,⟗,U+27D7,FULL OUTER JOIN
3,82,⟘,U+27D8,LARGE UP TACK
